Specimen,Skull_RostralLength,Skull_ZygomaticWidth,MeasureDate,MeasureBy,LGTHROW_U,LGTHROW_L,N_Total_Vertebrae,N_Cervical_Vetebrae,N_Thoracic_Vetebrae,N_Lumbar_Vetebrae,N_Caudal_Vetebrae,N_Ribs,N_DoubleHead,N_SingleHead,N_Chevron,N_Teeth_UpperL,N_Teeth_LowerL,N_Teeth_UpperR,N_Teeth_LowerR,EditDate,EditUser,RecordCreationDate
DSJ1880             ,29.2000007629395,17.7000007629395,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.297,Susan.Chivers,2017-09-14 12:51:21.297
DSJ1952             ,28.2999992370605,18.7000007629395,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.303,Susan.Chivers,2017-09-14 12:51:21.303
DSJ1953             ,30.1000003814697,19.2999992370605,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.31,Susan.Chivers,2017-09-14 12:51:21.307
DSJ1954             ,27.6000003814697,19.2000007629395,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.313,Susan.Chivers,2017-09-14 12:51:21.313
DSJ1955             ,19.6000003814697,14.6999998092651,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.32,Susan.Chivers,2017-09-14 12:51:21.32
DSJ1959             ,30,18.2999992370605,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.323,Susan.Chivers,2017-09-14 12:51:21.323
DSJ1961             ,30.7000007629395,19.6000003814697,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.33,Susan.Chivers,2017-09-14 12:51:21.33
DSJ1963             ,27.2999992370605,18,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.333,Susan.Chivers,2017-09-14 12:51:21.333
DSJ2006             ,27.3999996185303,18.1000003814697,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.34,Susan.Chivers,2017-09-14 12:51:21.34
DSJ2053             ,29.5,18.7999992370605,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.347,Susan.Chivers,2017-09-14 12:51:21.343
DSJ2054             ,28.5,18.7000007629395,2012-01-10,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.35,Susan.Chivers,2017-09-14 12:51:21.35
DSJ2068             ,28,18.7999992370605,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.357,Susan.Chivers,2017-09-14 12:51:21.357
DSJ2069             ,27.2000007629395,19.2000007629395,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.36,Susan.Chivers,2017-09-14 12:51:21.36
DSJ2073             ,27.1000003814697,17.3999996185303,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.367,Susan.Chivers,2017-09-14 12:51:21.367
DSJ2076             ,30.2999992370605,19.3999996185303,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.37,Susan.Chivers,2017-09-14 12:51:21.37
DSJ2147             ,23.6000003814697,16.5,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.377,Susan.Chivers,2017-09-14 12:51:21.377
DSJ2149             ,26.8999996185303,18.2000007629395,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.38,Susan.Chivers,2017-09-14 12:51:21.38
DSJ2157             ,29,19.1000003814697,2012-04-17,Michelle Berman, SBMNH                            ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-14 12:51:21.387,Susan.Chivers,2017-09-14 12:51:21.387
