ID,Specimen,GonadTypeID,Side,IsDry,DryBox,CurateDate,EditDate,EditUser,RecordCreationDate
249,BXR0372,1,L,Y,NA,NA,2018-05-10 09:14:03.507,Kerri.Danil,NA
250,BXR0385,1,L,Y,2,2012-05-30,2018-05-10 09:20:31.063,Kerri.Danil,NA
251,BXR0389,1,L,Y,NA,NA,2018-05-10 09:20:39.557,Kerri.Danil,NA
252,BXR0426,1,L,Y,2,2012-05-30,2018-06-13 14:05:58.503,Kerri.Danil,NA
253,BXR0433,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
254,BXR0440,1,L,NA,NA,2018-06-13,2023-10-31 09:09:54.377,Keiko.Sherman,NA
255,BXR0464,1,L,Y,NA,NA,2025-05-20 16:19:25.727,Elyse.Wurster,NA
256,BXR0479,1,L,Y,NA,NA,2018-06-13 14:19:48.923,Kerri.Danil,NA
257,BXR0495,1,L,Y,NA,NA,2018-06-13 14:19:37.827,Kerri.Danil,NA
258,BXR0500,1,L,Y,NA,NA,2018-08-07 14:49:22.487,Kerri.Danil,NA
259,BXR0506,1,L,Y,NA,NA,2018-08-07 14:49:38.693,Kerri.Danil,NA
260,BXR0526,1,L,Y,NA,NA,2018-08-07 14:48:31.073,Kerri.Danil,NA
261,BXR0555,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
262,BXR0558,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
263,BXR0564,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
264,BXR0568,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
265,BXR0570,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
266,BXR0572,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
267,BXR0575,1,L,Y,NA,NA,2017-10-25 11:24:59.04,Susan.Chivers,NA
