ID,Specimen,CollectionID,AccessionNumber,EditDate,EditUser,RecordCreationDate
1568,JEK0026,2,054989,2017-11-07 14:01:06.577,NA,2017-11-07 14:01:06.577
1569,JEK0025,2,054988,2017-11-07 14:01:06.81,NA,2017-11-07 14:01:06.81
1570,JEK0024,2,054987,2017-11-07 14:01:07.03,NA,2017-11-07 14:01:07.03
1571,JEK0021,2,054986,2017-11-07 14:01:07.253,NA,2017-11-07 14:01:07.253
1572,GSD0032,2,054985,2017-11-07 14:01:07.48,NA,2017-11-07 14:01:07.48
1573,DAA0059,2,054984,2017-11-07 14:01:07.703,NA,2017-11-07 14:01:07.703
1574,WOK0037,2,072144,2017-11-07 14:01:07.923,NA,2017-11-07 14:01:07.923
1575,AXP0101,2,054982,2017-11-07 14:01:08.147,NA,2017-11-07 14:01:08.147
1576,JWG0053,2,054995,2017-11-07 14:01:08.36,NA,2017-11-07 14:01:08.36
1577,ASO0012,2,054980,2017-11-07 14:01:08.583,NA,2017-11-07 14:01:08.583
1578,WFP0006,2,037551,2017-11-07 14:01:08.807,NA,2017-11-07 14:01:08.807
1579,JEK0036,2,096431,2017-11-07 14:01:09.03,NA,2017-11-07 14:01:09.03
1580,PGT0013,2,072308,2017-11-07 14:01:09.253,NA,2017-11-07 14:01:09.253
1581,TEB0050,2,072307,2017-11-07 14:01:09.473,NA,2017-11-07 14:01:09.473
1582,TRK0215,2,072306,2017-11-07 14:01:09.69,NA,2017-11-07 14:01:09.69
1583,TRK0212,2,072305,2017-11-07 14:01:09.923,NA,2017-11-07 14:01:09.923
1584,TRK0211,2,072304,2017-11-07 14:01:10.143,NA,2017-11-07 14:01:10.143
1585,TRK0213,2,072136,2017-11-07 14:01:10.363,NA,2017-11-07 14:01:10.363
1586,AXP0104,2,054983,2017-11-07 14:01:10.593,NA,2017-11-07 14:01:10.593
1587,SWM0035,2,072103,2017-11-07 14:01:10.827,NA,2017-11-07 14:01:10.827
1588,WKI0222,2,072114,2017-11-07 14:01:11.047,NA,2017-11-07 14:01:11.047
1589,WKI0170,2,072113,2017-11-07 14:01:11.267,NA,2017-11-07 14:01:11.267
1590,WKI0168,2,072112,2017-11-07 14:01:11.48,NA,2017-11-07 14:01:11.48
1591,WKI0167,2,072111,2017-11-07 14:01:11.703,NA,2017-11-07 14:01:11.703
1592,WKI0166,2,072110,2017-11-07 14:01:11.923,NA,2017-11-07 14:01:11.923
1593,WKI0165,2,072109,2017-11-07 14:01:12.143,NA,2017-11-07 14:01:12.143
1594,WKI0164,2,072108,2017-11-07 14:01:12.367,NA,2017-11-07 14:01:12.367
1595,WKI0163,2,072107,2017-11-07 14:01:12.6,NA,2017-11-07 14:01:12.6
1596,SWM0038,2,072106,2017-11-07 14:01:12.83,NA,2017-11-07 14:01:12.83
1597,JWG0051,2,054993,2017-11-07 14:01:13.05,NA,2017-11-07 14:01:13.05
1598,SWM0036,2,072104,2017-11-07 14:01:13.273,NA,2017-11-07 14:01:13.273
1599,JWG0052,2,054994,2017-11-07 14:01:13.493,NA,2017-11-07 14:01:13.493
1600,SWM0034,2,072102,2017-11-07 14:01:13.703,NA,2017-11-07 14:01:13.703
1601,SRM0036,2,072101,2017-11-07 14:01:13.95,NA,2017-11-07 14:01:13.95
1602,RJL0035,2,055002,2017-11-07 14:01:14.177,NA,2017-11-07 14:01:14.177
1603,RJL0033,2,055001,2017-11-07 14:01:14.43,NA,2017-11-07 14:01:14.43
1604,MXS0006,2,055000,2017-11-07 14:01:14.647,NA,2017-11-07 14:01:14.647
