ID,Specimen,Age,IsAnalysisQuality,EstimationMethod,AgeReader1,ReaderID1,AgeReader2,ReaderID2,AgeReader3,ReaderID3,AgeReader4,ReaderID4,EditDate,EditUser,RecordCreationDate
11790,TBS0323,15.75,Y,Mean: ReaderID_1 & 2,15,6,16.5,9,7.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11791,TBS0324,7.8,Y,NA,7.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11792,TBS0325,3.9,Y,Mean: ReaderID_1 & 2,3.8,6,4,9,4.6,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11793,TBS0328,0.5,Y,Mean                ,0.5,6,0.5,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11794,TBS0343,10.9,Y,NA,10.9,15,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11795,TBS0344,10.9,Y,NA,10.9,15,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11796,TBS0351,0.7,Y,NA,0.7,15,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11797,TBS0356,10.75,Y,Mean: ReaderID_1 & 2,9.5,6,12,9,8.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11798,TBS0357,18,Y,Mean: ReaderID_1 & 2,18,6,18,9,10.4,1,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11799,TBS0359,4.9,Y,Mean: ReaderID_1 & 2,4.5,6,5.3,9,5.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11800,TBS0360,3.6,Y,NA,3.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11801,TBS0361,14.5,Y,Mean                ,14,6,15,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11802,TBS0362,10.75,Y,Mean: ReaderID_1 & 2,11.5,6,10,9,7.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11803,TBS0364,6.7,Y,NA,6.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11804,TBS0365,6.7,Y,NA,6.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11805,TBS0366,7.8,Y,NA,7.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11806,TBS0367,3.1,Y,NA,3.1,1,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11807,TBS0368,7.6,Y,NA,7.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11808,TBS0369,11,Y,Mean: ReaderID_1 & 2,NA,6,11,18,9.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11809,TBS0374,6.7,Y,NA,6.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11810,TBS0375,14,Y,Mean: ReaderID_1    ,14,6,9.8,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11811,TBS0376,8.7,Y,NA,8.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11812,TBS0377,7.7,Y,NA,7.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11813,TBS0378,10,Y,Mean: ReaderID_1    ,10,6,8.7,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11814,TBS0379,9.7,Y,NA,9.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11815,TBS0380,6.7,Y,NA,6.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11816,TBS0381,6.7,Y,NA,6.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11817,TBS0382,3.6,Y,NA,3.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11818,TBS0383,3.7,Y,NA,3.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11819,TBS0384,9.8,Y,NA,9.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11820,TBS0385,5,Y,Mean: ReaderID_1    ,5,6,7.8,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11821,TBS0386,7.7,Y,NA,7.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11822,TBS0387,6.8,Y,NA,6.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11823,TBS0388,17,Y,Mean: ReaderID_1    ,17,6,8.8,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11824,TBS0389,10,Y,Mean: ReaderID_1    ,10,6,6.8,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11825,TBS0390,8.8,Y,NA,8.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11826,TBS0391,24,Y,Mean: ReaderID_1    ,24,6,9.8,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11827,TBS0393,4.7,Y,NA,4.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11828,TBS0394,6.8,Y,NA,6.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11829,TBS0395,1.22,Y,Mean                ,0.93,6,1.5,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11830,TBS0396,6.8,Y,NA,6.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11831,TBS0397,7.6,Y,NA,7.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11832,TBS0398,1.15,Y,Mean                ,1,6,1.3,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11833,TBS0399,27,Y,Mean: ReaderID_1 & 2,28,6,26,18,10.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11834,TBS0400,4.6,Y,NA,4.6,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11835,TBS0401,6.8,Y,NA,6.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11836,TBS0402,6.08,Y,Mean: ReaderID_1 & 2,5.67,6,6.5,18,5.8,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11837,TBS0409,5.7,Y,NA,5.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11838,TBS0410,8.8,Y,NA,8.8,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11839,TBS0411,5.25,Y,Mean: ReaderID_1 & 2,6.5,6,4,9,6.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11840,TCB0001,4.6,Y,Mean                ,5.2,6,4,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11841,TCB0064,10,Y,NA,10,NA,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-22 12:45:29.29
11842,TCF0010,11,Y,Mean: ReaderID_1 & 2,12,6,10,9,11.5,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11843,TCF0011,17,Y,Mean: ReaderID_1    ,17,6,13.7,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11844,TCF0012,12,Y,Mean: ReaderID_1    ,12,6,12.8,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11845,TCF0013,15.7,Y,NA,15.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11846,TCF0014,13,Y,Mean: ReaderID_1    ,13,6,13.8,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11847,TCF0015,11.7,Y,NA,11.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11848,TCF0016,15.33,Y,Mean: ReaderID_1 & 2,17.67,6,13,18,14.7,4,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11849,TCF0017,14,Y,Mean: ReaderID_1    ,14,6,13.8,4,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11850,TCF0018,16.7,Y,NA,16.7,4,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
